Order Line,Order ID,Bar code value,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
1,OF-2019-103800,76712049,6/26/2019,6/30/2019,Standard Class,DP-13000,OFF-PA-10000174,16.448,2,0.2,5.5512
2,OF-2019-112326,46118691,6/27/2019,7/1/2019,Standard Class,PO-19195,OFF-LA-10003223,11.784,3,0.2,4.2717
3,OF-2019-112326,326526,6/27/2019,7/1/2019,Standard Class,PO-19195,OFF-ST-10002743,272.736,3,0.2,-64.7748
4,OF-2019-112326,88039927,6/27/2019,7/1/2019,Standard Class,PO-19195,OFF-BI-10004094,3.54,2,0.8,-5.487
5,OF-2019-141817,87771881,6/28/2019,7/5/2019,Standard Class,MB-18085,OFF-AR-10003478,19.536,3,0.2,4.884
6,OF-2019-130813,48602171,6/29/2019,7/1/2019,Second Class,LS-17230,OFF-PA-10002005,19.44,3,0,9.3312
7,OF-2019-106054,94110873,6/29/2019,6/30/2019,First Class,JO-15145,OFF-AR-10002399,12.78,3,0,5.2398
8,OF-2019-167199,86917556,6/29/2019,7/3/2019,Standard Class,ME-17320,FUR-CH-10004063,2573.82,9,0,746.4078
9,OF-2019-167199,32673450,6/29/2019,7/3/2019,Standard Class,ME-17320,OFF-BI-10004632,609.98,2,0,274.491
10,OF-2019-167199,16475297,6/29/2019,7/3/2019,Standard Class,ME-17320,OFF-AR-10001662,5.48,2,0,1.4796
11,OF-2019-167199,72828216,6/29/2019,7/3/2019,Standard Class,ME-17320,TEC-PH-10004977,391.98,2,0,113.6742
12,OF-2019-167199,11284723,6/29/2019,7/3/2019,Standard Class,ME-17320,TEC-PH-10004539,755.96,4,0,204.1092
13,OF-2019-167199,8344107,6/29/2019,7/3/2019,Standard Class,ME-17320,OFF-FA-10001883,31.12,4,0,0.3112
14,OF-2019-167199,14078091,6/29/2019,7/3/2019,Standard Class,ME-17320,OFF-PA-10000955,6.54,1,0,3.0084
15,OF-2019-105417,35540206,6/30/2019,7/5/2019,Standard Class,VS-21820,FUR-FU-10004864,76.728,3,0.6,-53.7096
16,OF-2019-105417,80073653,6/30/2019,7/5/2019,Standard Class,VS-21820,OFF-BI-10003708,10.43,7,0.8,-18.2525
17,OF-2019-135405,88581999,7/2/2019,7/6/2019,Standard Class,MS-17830,OFF-AR-10004078,9.344,2,0.2,1.168
18,OF-2019-135405,68142965,7/2/2019,7/6/2019,Standard Class,MS-17830,TEC-AC-10001266,31.2,3,0.2,9.75
19,OF-2019-149020,65272019,7/3/2019,7/8/2019,Standard Class,AJ-10780,OFF-LA-10004272,2.89,1,0,1.3583
20,OF-2019-149020,28269041,7/3/2019,7/8/2019,Standard Class,AJ-10780,FUR-FU-10000965,51.94,1,0,21.2954
21,OF-2019-130092,39513654,7/4/2019,7/7/2019,First Class,SV-20365,FUR-FU-10000010,9.94,2,0,3.0814
22,OF-2019-162775,14372898,7/6/2019,7/8/2019,Second Class,CS-12250,OFF-EN-10001990,11.36,2,0,5.3392
23,OF-2019-162775,27633819,7/6/2019,7/8/2019,Second Class,CS-12250,OFF-EN-10001532,50.94,3,0,25.47
24,OF-2019-162775,98803136,7/6/2019,7/8/2019,Second Class,CS-12250,TEC-AC-10003174,646.74,6,0,258.696
25,OF-2019-162775,59846310,7/6/2019,7/8/2019,Second Class,CS-12250,OFF-BI-10004187,5.64,3,0,2.7072
26,OF-2019-162775,58628083,7/6/2019,7/8/2019,Second Class,CS-12250,OFF-ST-10000025,572.58,6,0,34.3548
27,OF-2019-109232,89615820,7/6/2019,7/9/2019,Second Class,ND-18370,FUR-CH-10000422,545.94,6,0,87.3504
